wavelength_nm,source_relative_absorbance,extraction_class,extraction_note
380,0.178,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
385,0.154,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
390,0.135,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
395,0.08550017035775127,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
400,0.0594,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
405,0.0428,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
410,0.03090017035775128,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
415,0.02610017035775128,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
420,0.0238,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
425,0.02610017035775128,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
430,0.02850017035775128,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
435,0.0356,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
440,0.0404,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
445,0.04870017035775127,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
450,0.0546,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
455,0.06650017035775127,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
460,0.08550017035775127,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
465,0.0998,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
470,0.114,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
475,0.1355001703577513,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
480,0.164,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
485,0.1832,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
490,0.2232,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
495,0.2636998296422488,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
500,0.3135001703577512,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
505,0.3494,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
510,0.411,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
515,0.4468,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
